"TerritorialAuthority","total_unidentified_victimisations","total_victimisations","unidentified_percentage"
"Area Outside Territorial Authority.",435,568,76.5845070422535
"Ashburton District.",4656,9254,50.3133779987033
"Auckland.",526928,826255,63.7730482720226
"Buller District.",1663,3788,43.9017951425554
"Carterton District.",1202,2333,51.5216459494213
"Central Hawke's Bay District.",1720,3874,44.3985544656686
"Central Otago District.",1586,3831,41.3991125032629
"Chatham Islands Territory.",32,61,52.4590163934426
"Christchurch City.",132438,211733,62.549531721555
"Clutha District.",1892,4370,43.2951945080092
"Dunedin City.",18531,35935,51.5681090858494
"Far North District.",19338,39145,49.4009452037297
"Gisborne District.",18220,33268,54.7673439942287
"Gore District.",1526,3789,40.2744787542887
"Grey District.",2299,5024,45.7603503184713
"Hamilton City.",85894,134201,64.0039940089865
"Hastings District.",27673,52012,53.2050296085519
"Hauraki District.",4485,9524,47.0915581688366
"Horowhenua District.",8980,19881,45.1687540868166
"Hurunui District.",1645,3136,52.4553571428571
"Invercargill City.",10086,20877,48.3115390142262
"Kaikoura District.",744,1509,49.3041749502982
"Kaipara District.",3843,7906,48.6086516569694
"Kapiti Coast District.",12216,21287,57.3871376896698
"Kawerau District.",2248,4435,50.6877113866967
"Lower Hutt City.",41483,61437,67.5212005794554
"Mackenzie District.",510,930,54.8387096774194
"Manawatu District.",5758,11476,50.1742767514814
"Marlborough District.",7386,15662,47.1587281317839
"Masterton District.",8359,14358,58.2184148210057
"Matamata-Piako District.",7902,15750,50.1714285714286
"Napier City.",25219,46382,54.3723858393342
"Nelson City.",12723,23148,54.9637117677553
"New Plymouth District.",16661,32491,51.2788156720323
"Opotiki District.",2775,5995,46.2885738115096
"Otorohanga District.",1528,3301,46.2890033323235
"Palmerston North City.",34355,60923,56.3908540288561
"Porirua City.",18514,28846,64.1822089717812
"Queenstown-Lakes District.",5611,10049,55.8364016320032
"Rangitikei District.",2499,5282,47.3116243847028
"Rotorua District.",35599,61620,57.7718273287893
"Ruapehu District.",2788,6379,43.7059100172441
"Selwyn District.",5966,11118,53.6607303471847
"South Taranaki District.",4824,11263,42.8305069697239
"South Waikato District.",6769,13751,49.2255108719366
"South Wairarapa District.",1928,3647,52.8653687962709
"Southland District.",2323,5935,39.1406908171862
"Stratford District.",1492,3422,43.6002337814144
"Tararua District.",3603,7715,46.701231367466
"Tasman District.",7269,14167,51.3093809557422
"Taupo District.",12881,24283,53.0453403615698
"Tauranga City.",41946,68266,61.444935985703
"Thames-Coromandel District.",6742,13573,49.6721432255213
"Timaru District.",6428,13217,48.6343345691155
"Upper Hutt City.",12019,18350,65.4986376021798
"Waikato District.",17249,32081,53.7670272123687
"Waimakariri District.",8028,14643,54.8248309772588
"Waimate District.",845,1905,44.3569553805774
"Waipa District.",9656,17922,53.8779154112264
"Wairoa District.",2502,5266,47.5123433345993
"Waitaki District.",2456,5900,41.6271186440678
"Waitomo District.",2129,4342,49.032703823123
"Wanganui District.",14192,27747,51.1478718420009
"Wellington City.",62109,88792,69.9488692675016
"Western Bay of Plenty District.",8754,16923,51.7284169473498
"Westland District.",1117,2331,47.9193479193479
"Whakatane District.",10031,20163,49.7495412389029
"Whangarei District.",27742,48802,56.8460309003729
